Method,Iterations,x,EOC,Error
Fixpoint Iteration,34,(0.7390845495752126+0j),,
Bisection,20,(0.7390851974487305+0j),,
Newton,3,(0.739085133385284+0j),1.1693768850018413,2.4743184057207657e-08
Fixpoint Iteration,0,,,
Bisection,21,(1.4142136573791504+0j),,
Newton,4,(1.4142135623746899+0j),1.9997666710861988,1.5947243525715749e-12
Fixpoint Iteration,5,(0.20206348582589903+0j),,
Bisection,19,(0.20206260681152344+0j),,
Newton,3,(0.20206251229970926+0j),1.2797592704565561,1.4880569468300742e-07
Fixpoint Iteration,0,,,
Bisection,1000,(3+0j),,
Newton,1000,(2.1430172143105608e+301-5.375210228317684e+287j),0.9999999999999993,2.1430172143105608e+301
